STATE,SCHOOL_NAME,EMAIL,WEB_ADDRESS,CONTACT_INFO,ADDRESS_AND_PHONE_INFO,STUDENTS_INFO
Colorado,Evangelical Christian Academy,jjohnson@ecaeagles.org,http://www.ecaeagles.org,"Dr. Jim Johnson, Superintendent : 4/09 - MemberG","4052 Nonchalant Cir.S. Colorado Springs, CO 80917 (Secondary)2511 N. Logan Ave, Colorado Springs, CO 80907 (Elementary)(719) 597-3675   FAX: (719) 550-5857E",Prek-12 (270 students)
Colorado,Highlands Classical Academy,info@hcadenver.org,http://www.hcadenver.org,"Nate Ahern, Head of School : 2/12 - MemberG","6400 W. 26th Ave., Edgewater, CO  80214 (mailing address)3025 W. 37th Ave., Denver, CO  80211 (facility address)(720)446-6286  FAX: none availableE",PreK-7 (49 students)
Colorado,Winter Park Christian School,sbeckerle@wpcc4him.org,http://www.wpcc4him.org,"Ed Beckerle, Headmaster : 3/12 - MemberG","P.O. Box 518, Tabernash, CO 80478 (mailing address)274 Ponderosa Trail, Tabernash, CO 80478 (facility address)(970) 887-9784  FAX: (970) 887-9785E",K-12 (57 students)
Colorado,Confidential Financial Services,jshelhamer@dev-test.com,http://www.cfainfo.net,John D. Shelhamer : 10/12 - Affiliate Business         ,"Colorado Springs, COC",""
Connecticut,Grace Academy New Haven,administrator@graceacademynewhaven.org,http://www.graceacademynewhaven.org,"Jennifer Cheng : 10/11 - Affiliate BusinessJennifer ChengGuilford, CTContact: Jennifer Cheng : 8/08 - Affiliate Individual         ","135 Whitney Ave., New Haven, CT  06150(203) 675-3268  FAX: (203) 777-5332C",""
Delaware,Geneva Academy,info@genevaacademyofde.com,http://www.genevaacademyofde.com/,Pastor James Dundas              Carla Y. Deason : 7/08 - MemberG,"PO Box 61, Lincoln, DE 19960 (mailing address)11146 Ponder Rd, Lincoln, DE 19960 (facility address)(302) 500-2087   FAX:  (302) 424-2166E",K-12 (38 students)
Delaware,Tall Oaks Classical School,mainoffice@talloaksde.org,http://www.talloaksde.org/,"Dr. Timothy Dernlan, Head of School : 2/96 - MemberG","ACCS Accredited since April 2009903 E. Basin Road, New Castle, DE 19720(302) 738-3337   FAX: (302) 328-7886E",K-12 (201 students)
Delaware,Advance Christian Schools,harold@advancechristianschools.com,http://www.advancechristianschools.com,Harold Naylor : 7/14 - Affiliate Business,"Wilmington, DEC",""
Delaware,Schola Inbound Enrollment Marketing,ralphc@schoolinboundmarketing.com,http://www.schoolinboundmarketing.com,Ralph Cochran : 12/14 - Affiliate Business       ,"Wilmington, DEC",""
Florida,Addison Academy,brettfurlong@me.com,http://www.addisonacademy.org,"Brett Furlong, Executive Director : 1/15 - MemberG","1306 SW 18th St., Cape Coral, FL  33991 (mailing address)8400 Cypress Lake Dr., Fort Myers, FL  33919 (facility address)(239) 444-8662  FAX: none availableE",PK-5 (0 students)
Florida,Classical Christian Academy of the Palm Beaches,ccapb128@gmail.com,http://www.ccapb.com,"Bonnie Fanelli, Founder : 1/15 - MemberG","128 N. C St., Lake Worth, FL  33460(561) 469-970  FAX: none availableE",K-5 (0 students)
Florida,Covenant Christian School,info@ccs-pc.net,http://www.ccs-pc.net,"Glenda Delmar, Administrator  : 4/10 - MemberG","2350 Frankford Ave., Panama City, FL 32405(850) 769-7448  FAX: (850) 763-2104E",PreK3-12 (142 students)
Florida,Geneva Classical Academy,admin@genevaclassicalacademy.com,http://www.genevaclassicalacademy.com/,"","4204 Lakeland Highlands Rd., Lakeland, FL  33813(863) 644-1408   FAX:  (863) 619-5841E",K4-12  (122 students)
Florida,The Geneva School,rfingram@genevaschool.org,http://www.genevaschool.org/,Robert F. Ingram  : 7/94 - CharterG," 2025 State Road 436, Winter Park, FL  32792(407) 332-6363  FAX: (407) 332-1664E",K4-12 (474 students)
Florida,Heritage Christian Academy,jscott@hcawh.org,http://www.hcawh.org,Dr. John Scott : 4/01 - MemberG,"PO Box 819, Winter Haven, FL  33882 (mailing address)244 Avenue D SW, Winter Haven (facility address)(863) 293-0012  FAX:  (863) 299-4146E",PreK-6 (65 students)
Florida,"Libertas Academy, Inc.",libertasacademy@aol.com,http://www.libertasacademy.com/,  Mrs. Hannah Vickery : 7/04 - MemberG,"15102 Amberly Dr., Tampa, FL  33647(813) 964-1779  FAX: (813) 964-1779E",K-7 (24 students)
Florida,Riverbend Academy,jason@riverbendchurch.com,http://www.riverbendacademy.org/,"Pastor Jason Karr, Headmaster : 5/04 - MemberG","ACCS Accredited Since September 20092080 West Granada Boulevard, Ormond Beach, FL  32174(386) 615-0986  FAX: (386) 672-7945E",K-12 (217 students)
Florida,The Paideia School of Tampa Bay,susan.wilson@thepaideiaschool.org,http://www.thepaideiaschool.org/,"Dr. Timothy Bridges, Headmaster : 2/06 - MemberG","ACCS Accredited Since May 20137834 N. 56th Street, Tampa, FL 33617(813) 988-7700   FAX: (813) 988-7740E",K-12 (76 students)
Florida,Trinitas Christian School,trinitas@trinitaschristian.org,http://www.trinitaschristian.org/,Mr. Kenneth Trotter  : 6/99 - MemberG,"ACCS Accredited Since May 2010      3301 East Johnson Avenue, Pensacola, FL   32514(850) 484-3515   FAX: (850) 484-3590E",K5-12 (169 students)
Florida,Victory Academy Ocala,angelobonnie@aol.com,http://www.victoryacademyocala.com,"Carey V. Jones, Administrator : 2/14 - MemberG","3401 SE Lake Weir Avenue, Ocala, FL  34471(352) 622-4410  FAX: (352) 694-1003E",PreK-3 (25 students)E
Florida,Latin in the Christian Trivium,jsparkes08@aol.com,http://www.latintrivium.com/,"Fred and Mary Harrington : 06/08 - Affiliate BusinessDavid PetzGreen Cove Springs, FLEmail: dapetz@hotmail.com : 7/12 - Affiliate HomeschoolSmith Preparatory AcademyPO Box 521522, Longwood, FL 32752(407) 260-0157 Contact: Michael Phillips : 5/10 - Affiliate BusinessJodi SparkesLakeland, FLEmail: jsparkes08@aol.com : 6/14 - Affiliate Homeschool","8327 Phillips Rd. SW, Lakewood, WA 98498(858) 335-6311   FAX: none availableE",""
Florida,RenWeb School Management Software,davevaughan@juno.com,http://www.renweb.com,"Paul Baker : 4/08 - Affiliate BusinessDavid VaughanClewiston, FLEmail: davevaughan@juno.com : 8/11 - Affiliate Individual                        ","1607 Addison Ave., Boca Raton, FL  33486(561) 447-7380  FAX: (413) 431-7380Contact: Paul BakerDOM: 4/08 - Affiliate BusinessDavid VaughanClewiston, FLE",""
Georgia,Atlanta Classical Christian Academy,office@accak12.org,http://www.accak12.org/,"Mr. Brett Edwards, Interim Head of School : 5/04 - MemberG","505 Atlanta St. SE, Marietta, GA  30060(770) 874-8885  FAX: (770) 874-8886E",PreK-9 (94 students)
Georgia,Covenant Academy,ca@covenantacademy.net,http://www.covenantacademy.net/,"Mr. Alan Wood, Headmaster : 6/07 - MemberG","4652 Ayers Road, Macon, GA  31210(478) 471-0285   FAX: (478) 471-8884E",K4-12 (394 students)
Georgia,Covenant Christian School,rball@ccssmyrna.org,http://www.ccssmyrna.org/,"  Mr. Randall Ball, Headmaster               Mrs. Barbara Hines, Principal : 5/01 - MemberG","3130 Atlanta Rd., Smyrna, GA  30080(770) 435-1596  FAX: (770) 436-5178E",K4-8  (221 students) 
Georgia,Dominion Classical Christian Academy,info@dominionclassical.org,http://www.dominionclassical.org/,"Mr. James Cain, Headmaster : 10/05 - MemberG","PO Box 744, Dacula, GA  30019 (mailing address)1416 Braselton Hwy, Lawrenceville, GA  30043 (facility address)(770) 338-7945   FAX: (678) 261-1721E",K4-10 (128 students)
Georgia,Heritage Preparatory School,administration@heritageprep.org,http://www.heritageprep.org/,"Rev. Soo Chang, Headmaster : 1/05 - MemberG","1700 Piedmont Avenue NE, Atlanta, GA  30324(404) 815-7711   FAX: (404) 815-7737E",PreK-8 (163 students)
Georgia,Providence Christian School,stacey.denard@pcsoxford.org,http://www.pcsoxford.org/,Mr. Ty Hensley : 5/07 - MemberG,"252 Byrd Road, Oxford, GA  30054(770) 788-6618   FAX: (770) 385-4988E",PreK-12 (112 students)
Georgia,Trinity Classical School,lgotsch@trinityclassical.org,http://www.trinityclassical.org,Glenn Jones : 1/09 - MemberG,"235 Harvest Church Rd, Clarkesville, GA 30523(706) 754-7686   FAX: none availableE",K-12 (38 students)
Georgia,Academy,info@veritassavannah.org,http://www.veritassavannah.org/,"Mr. Brett Edwards, Interim Head of School : 5/04 - MemberG","505 Atlanta St. SE, Marietta, GA  30060(770) 874-8885  FAX: (770) 874-8886E",PreK-9 (94 students)C
Georgia,"Lighthouse Classical Homeschooler's Academy, Inc",allison.jb.earle@gmail.com,http://www.lchacarrollton.com,Mrs. Allison Earle : 3/10 - Affiliate Business,"PO Box 1766, Carrollton, GA  30112(770) 296-7130  C",""
Georgia,RAYS for Christ Cooperative,rays4christcoop@gmail.com,http://www.rays4christ.org,Information : 10/14 - Affiliate Homeschool         ,"Social Circle, GAC",""
Hawaii,Trinity Christian School,ssprague@tcskailua.net,http://www.tcskailua.net,Ginger Moratin - Admissions              Stephen Sprague - Head of School : 1/10 - MemberG,"875 Auloa Road, Kailua, HI(808) 262-8501  FAX: (808) 261-3916E",  PreK-12 (345 students) 
Idaho,Classical Christian Academy,dhopper@classicalchristian.com,http://www.classicalchristian.com/,"Mr. Dan Hopper, Headmaster              Mr. Shawn Roberts, Associate Headmaster : 3/96 - CharterG","2289 W. Seltice Way, Post Falls, ID 83854(208) 777-4400  FAX:  (208) 777-2544E",K4-12 (170 students)
Idaho,The Ambrose School,office@theambroseschool.org,http://www.foundationsacademy.org/,"Mr. Kirk Vanderleest, Headmaster : 2/01 - MemberG","ACCS Accredited Since May 20066100 N. Locust Grove Rd, Meridian, ID 83646(208) 323-3888  FAX: (208) 672-0522E",K-12 (510 students)
Idaho,Logos Online School,gene@canonpress.com,http://www.logospressonline.com,Dr. Larry Stephenson : 10/13 - MemberG,"207 N. Main, Moscow, ID  838431-800-488-2034  FAX: None availableE",9-12 (38 students)
Idaho,Logos School,logosmain@turbonet.com,http://www.logosschool.com/,"  Mr. Tom Garfield, Superintendant               Mr. Matt Whitling, Elementary Principal : 10/94 - CharterG","ACCS Accredited Since January 2000         110 Baker Street, Moscow, ID   83843(208) 882-1226   FAX: (806) 209-8511E",PreK-12  (380 students)
Idaho,New St. Andrews College,bschlect@nsa.edu,http://www.nsa.edu/,Dr. Roy Atwood : 12/94  - CharterG,"     PO Box 9025, Moscow, ID   83843 (mailing address)405 S. Main St., Moscow, ID  83843 (facility address)(208) 882-1566  FAX: (208) 882-4293E",College (175 students)
Idaho,Canon Press,orders@canonpress.com,http://www.canonpress.com/shop/,Orders : 1/99 - Affiliate Business,"207 N. Main St., Moscow, ID  83843(800) 488-2034    C",""
Idaho,Logos Press,sandy@logospressonline.com,http://www.logospressshop.com/,Sandy Belschner : 11/08 - Affiliate Business,"110 Baker St., Moscow, ID 83843(208) 883-3199C",""
Idaho,Nova Classical Academy of Music,ncamcontact@gmail.com,http://www.novaclassical.com,Dustan Chevalier : 9/14 - Affiliate Business,"1123 S. Harrison St. #10, Moscow, ID  83843(864) 918-5075C",""
Idaho,Roman Roads Media,daniel@romanroadsmedia.com,http://www.romanroadsmedia.com,Daniel Foucachon : 12/14 - Affiliate Business          ,"739 S. Hayes St., Moscow, ID  83843(208) 596-8190C",""
Illinois,Aletheia Christian School of Peoria,info@peoriaclassical.org,http://www.peoriaclassical.org/,Chris Marchand : 5/21/2003  -  MemberG,"  7229 N. Knoxville Ave., Peoria, IL  61614(309) 635-9809   FAX: none availableE",PreK-9 (33 students)
Illinois,Clapham School,info@claphamschool.com,http://www.claphamschool.com/,Mr. Douglas Reynolds : 7/06 - MemberG,"PO Box 209, Wheaton, IL 60187 (mailing address)c/o College Church, 332 E. Seminary, Wheaton, IL 60137 (facility address)(630) 547-5125   FAX: none availableE",PreK-10 (111 students)
Illinois,Naperville Christian Academy,jmccord@ncaclassical.org,http://www.ncaclassical.org/,"Mrs. Rebecca Ruff, Headmaster : 3/06 - MemberG","1451 Raymond Drive, Suite 200, Naperville, IL 60563(630) 637-9622   FAX: (630) 355-1828E",PS-12 (84 students)
Illinois,Classical Consortium Academy,phillip@martin18.com,http://www.classicalconsortiumacademy.org,"Jennifer Burns  : 3/06 - Affiliate BusinessPhillip A. MartinWaterman, ILEmail: Phillip : 9/10 - Affiliate Individual         ","204 N. Old Rand Rd., Lake Zurich, IL  60047(224) 677-5237Contact: Jennifer Burns DOM: 3/06 - Affiliate BusinessPhillip A. MartinWaterman, ILE",""
Indiana,Acacia Academy,rchoshaw@acaciaacademy.org,http://www.acaciaacademy.org/,Rob Hoshaw : 4/09 - MemberG,"830 South Main St., Kokomo, IN 46901(765) 457-5545   FAX: none availableE",K-8 (72 students)
Indiana,Coram Deo Academy,info@CoramDeo-IN.com,http://coramdeo-in.com/,"David Hardesty, Headmaster : 7/08 - MemberG","651 W. Main St, Carmel IN  46032(317) 844-4224   FAX: none available E",K-12 (104 students)
Indiana,Providence Christian Academy,info@providenceca.org,http://www.providenceca.org,Ed Vander Woude : 3/13 - MemberG,"PO Box 122, Schererville, IN  46376 (mailing address)8405 Alexander St., Schererville, IN  46375 (facility address)(708) 672-7900  FAX: none availableE",K-7 (27 students)
Indiana,one:ten communications,info@onetencommunications.com,http://www.onetencommunications.com,David Salmon : 3/14 - Affiliate Business,"South Bend, INC",""
Indiana,State History by A Helping Hand,statehistory@statehistory.net,http://www.statehistory.net,Joy Dean : 8/13 - Affiliate Business        ,"Indianapolis, INC",""
Iowa,Morning Star Academy,casey.shutt@msa-qc.org,http://www.morningstaracademy.org/,Dr. Casey Shutt : 1/98  - MemberG,"1426 Tanglefoot Lane, Bettendorf, IA   52722-2414(563) 359-5700  FAX: (563) 359-5737E",K-12 (223 students) 
Kansas,Cair Paravel Latin School,mcongdon@cpls.org,http://www.cpls.org/,"Melody Congdon, Superintendent : 5/95  - CharterG","ACCS Accredited Since October 2014635 SW Clay Street, Topeka, KS  66606-1431(785) 232-3878  FAX: (785) 232-0047E",K-12 (292 students)
Kansas,Classical School of Wichita,wortego@cswsaints.com,http://www.cswsaints.com/,"Mr. Wade Ortego, Head of School : 3/06 - memberG","6355 Willowbrook, Wichita, KS  67218(316) 773-9279   FAX: (316) 942-3291E",K-12 (221 students)
Kansas,Veritas Christian School,mhcbrain@aol.com,http://www.veritaschristianschool.org/,"Kelli Huslig, Administrator : 5/98 - MemberG","    256 N. Michigan, Lawrence, KS  66044(785) 749-0083  FAX:  (785) 749-0580E",K-12 (152 students)M
Kentucky,Cornerstone Classical Christian Academy,info@cornerstoneclassical.org,http://www.cornerstoneclassical.org/,Mr. John Paul Davis : 12/06 - MemberG,"1746 Coachtrail Drive, Hebron, KY  41048 (mailing address)3800 Church Street, Latonia, KY  41015 (facility address)(859) 640-5147  FAX: none availableE",K-7 (27 students)
Kentucky,Covenant Classical Academy,info@covenant-classical.org,http://www.covenant-classical.org/,Mr. Lance Harris : 2/98 - MemberG,"     13902 Factory Lane, Louisville, KY  40245(502) 243-0404   FAX: none availableE",K-8 (45 students)
Kentucky,New Covenant Christian Academy,ncca.siress@gmail.com,http://www.nccaky.org,Tara Siress : 5/10 - MemberG,"PO Box 348, Hardin, KY 42048 (mailing address)218 College St., Hardin, KY 42048 (physical address)270-437-3170E",K-5 (39 students)
Kentucky,Trinity Christian Academy,mrandle@trinitylex.org,http://www.tcalex.org/,Rev. Mark Randle : 10/98 - MemberG,"  3900 Rapid Run Dr., Lexington, KY  40515(859) 887-2513   FAX: (859) 887-2468E",PreK4-12 (356 students) 
Louisiana,Christ Presbyterian School,christpreschool@outlook.com,http://www.cpsbr.com,Mr. George T. Thompson : 10/06 - MemberG,"8025 Antioch Road, Baton Rouge, LA  70817-6402(225) 751-2065   FAX: none availableE",PreK-8 (42 students)
Louisiana,Geneva Academy,elang@genevaclassical.org,http://www.genevaclassical.org/,Mr. Edwin Lang : 4/06 - MemberG,"2507 Oliver Road, Monroe, LA  71201(318) 805-0116   FAX: (318) 387-5135E",K-12 (103 students)
Maine,Tree of Life School and Book Service Ltd.,treeofl@nbnet.nb.ca,http://www.treeoflifeathome.com/,Mr. Mike Flewelling  : 2/97 - Affiliate Business         ,"413 Military St., Suite 518, Houlton, ME  04730-3204(506) 328-6781     C",""
Maryland,Lighthouse Christian Academy,contact@lcacademy.org,http://www.lcacademy.org/,Mrs. Linda A. Whiting : 2/01  - MemberG,"       931 Love Point Road, Stevensville, MD  21666(410) 643-3034    FAX: (410) 604-2019E",K-12  (74 students)
Maryland,New Covenant Christian School ,nccs@ncpres.org,http://k12.ncpres.org/,  Mrs. Jean E. Armstrong : 11/97 - MemberG,"     128 St. Mary's Church Rd., Abingdon, MD  21009(443) 512-0771   FAX: (410) 569-3846E",PreK-12  (196 students)
Maryland,Redeemer Classical Christian School,info@rccs.org,http://www.rccs.org/,"Terry Cellini, Head of School : 3/98 - MemberG","6415 Mt. Vista Road, Kingsville, MD  21087(410) 592-9625   FAX: (410) 817-6904E",PreK-12 (242 students)
Maryland,Rockbridge Academy,learning@rockbridge.org,http://www.rockbridge.org/,Mr. Michael J. McKenna : 6/96 - MemberG,"ACCS Accredited Since October 2003   911 Generals Highway, Millersville, MD  21108(410) 923-1171  FAX: (410) 923-6588E",K-12 (347 students)
Maryland,St. Stephen's Classical Christian Academy,sscca@st-stephens-rec.com,http://www.ststephensclassical.org,Mr. John Dykes : 10/01 - MemberG,"    2275 Liberty Road, Eldersburg, MD  21784(410) 795-1249  FAX:  (410) 795-8820E",K-12 (89 students)
Maryland,Woodstream Christian Academy,drvonglockner@gmail.com,http://www.woodstreamacademy.com,Dr. Rachel Ballard : 9/14 - MemberG,"9800 Lottsford Road, Mitchellville, MD  20721(301) 955-1160  FAX: (301) 955-1169E",K2-12 (315 students)D
Maryland,Granite Classical Tutorials ,info@graniteclassical.org,http://www.graniteclassical.org/,Mrs. Ava Paul  : 7/00 - Affiliate Business,"10001-A  Route108, Columbia, MD  21044(410) 299-8215   FAX: none availableC",""
Maryland,Harrison & Associates,tim@harrisonandassociatesllc.com,http://www.harrisonandassociatesllc.com,"Timothy T. Harrison, CPA : 4/14 - Affiliate Business          ","11722 Taneytown Pike, Taneytown, MD  21787(301) 473-3007  FAX: None availableC",""
Massachusetts,Grace Academy,academy@graciouscall.org,http://www.graceacademyspringfield.org,"Carmen Rizzo, Administrator : 8/14 - MemberG","60 Bowles Park, Springfield, MA  01104(413) 781-0332  FAX: sameE",K-12 (19 students)
Massachusetts,The IMAGO School,imago@imagoschool.org,http://imagoschool.org/,"  Miss Judith Ward, Headmistress : 6/96 - MemberG","1 Percival Street, Maynard, MA   01754(978) 897-0549   FAX:  (978) 897-3094E",K-8 (70 students)
Massachusetts,Samuel Fuller School,headmaster@samuelfullerschool.org,http://www.samuelfullerschool.org/,"Carol Brown, Co-Head of School              Alia Rivers, Co-Head of School : 7/07 - MemberG","6 Plympton St., Middleborough, MA  02346(508) 947-3217   FAX: none availableE",K-8 (52 students)
Massachusetts,Veritas Academy,tphoffrage@hotmail.com,http://www.veritasacademycapecod.com/,Mr. Thomas Hoffrage : 8/00 - MemberG,"PO Box 940, W. Barnstable, MA   02668 (mailing address)1200 Old Stage Rd., Centerville, MA  02632 (physical address)(508) 420-8145  FAX:  (508) 420-8145 E",PreK-8 (28 students)
Massachusetts,Rediker Software,sales@rediker.com,http://www.rediker.com,Email : 4/2010 - Affiliate Business          ,"Hampden, MA  01036Contact: E",""
